temperature;gas;humidity;barometer;IAQ;IAQ_S;VOCS;accuracy
30.19;123530.00;35.00;1000.62;41;49;0.72;3
30.19;123439.00;35.00;1000.62;41;49;0.72;3
30.19;122808.00;35.00;1000.62;41;49;0.72;3
30.20;123894.00;35.00;1000.60;41;49;0.72;3
30.20;123621.00;35.00;1000.60;41;49;0.72;3
30.20;123349.00;35.00;1000.60;41;49;0.72;3
30.20;123530.00;35.00;1000.60;41;49;0.72;3
30.20;124169.00;35.00;1000.58;41;49;0.72;3
30.20;122898.00;35.00;1000.58;41;49;0.72;3
30.21;124260.00;35.00;1000.65;42;49;0.72;3
30.21;123078.00;35.00;1000.65;42;49;0.72;3
30.20;123439.00;35.00;1000.65;42;49;0.72;3
30.21;122540.00;35.00;1000.65;42;50;0.73;3
30.21;122718.00;35.00;1000.65;42;50;0.73;3
30.22;122095.00;35.00;1000.65;42;50;0.73;3
30.22;122808.00;35.00;1000.65;43;51;0.74;3
30.22;123078.00;35.00;1000.65;43;51;0.74;3
30.22;123439.00;35.00;1000.65;43;51;0.74;3
30.21;123349.00;35.00;1000.65;42;50;0.73;3
30.21;122450.00;35.00;1000.62;42;50;0.73;3
30.22;123168.00;35.00;1000.62;42;50;0.73;3
30.22;123078.00;35.00;1000.62;42;50;0.74;3
30.22;123258.00;35.00;1000.62;42;50;0.74;3
30.22;123258.00;35.00;1000.62;42;50;0.74;3
30.22;122450.00;35.00;1000.62;43;51;0.74;3
30.22;124077.00;35.00;1000.62;43;51;0.74;3
30.21;122361.00;35.00;1000.65;43;51;0.74;3
30.21;122718.00;35.00;1000.65;42;50;0.73;3
30.22;123803.00;35.00;1000.65;42;50;0.73;3
30.22;122095.00;35.00;1000.65;42;50;0.73;3
30.22;122629.00;35.00;1000.65;43;51;0.74;3
30.22;123258.00;35.00;1000.65;43;51;0.74;3
30.22;123168.00;35.00;1000.65;43;51;0.74;3
30.22;121918.00;35.00;1000.65;44;52;0.75;3
30.23;123349.00;35.00;1000.65;44;52;0.75;3
30.23;122898.00;35.00;1000.65;44;52;0.75;3
30.23;123439.00;35.00;1000.65;43;51;0.74;3
30.23;122808.00;35.00;1000.65;43;51;0.74;3
30.23;123258.00;35.00;1000.65;43;51;0.74;3
30.23;122006.00;35.00;1000.65;44;52;0.75;3
30.23;122808.00;35.00;1000.65;44;52;0.75;3
30.23;122988.00;35.00;1000.65;44;52;0.75;3
30.23;123258.00;35.00;1000.62;44;52;0.75;3
30.23;122540.00;35.00;1000.65;43;51;0.74;3
30.24;122629.00;35.00;1000.65;43;51;0.74;3
30.24;122095.00;35.00;1000.62;43;51;0.74;3
30.24;122808.00;35.00;1000.65;44;52;0.75;3
30.23;122898.00;35.00;1000.65;44;52;0.75;3
30.22;121565.00;35.00;1000.62;44;52;0.75;3
30.22;122361.00;35.00;1000.65;44;53;0.77;3
30.22;122095.00;35.00;1000.65;44;53;0.77;3
30.21;122361.00;35.00;1000.65;44;53;0.77;3
30.22;122006.00;35.00;1000.65;44;53;0.76;3
30.21;121302.00;35.00;1000.65;44;53;0.76;3
30.22;122183.00;35.00;1000.65;44;53;0.76;3
30.22;120866.00;35.00;1000.65;44;53;0.76;3
30.22;122006.00;35.00;1000.65;44;53;0.76;3
30.22;121127.00;35.00;1000.66;44;53;0.76;3
30.22;121477.00;35.00;1000.65;45;54;0.78;3
