;temperatureEreignis;gasEreignis;humidityEreignis;barometerEreignis
734;30,4;55330;35;999,09
735;30,4;56031;35;999,13
736;30,4;55623;35;999,12
737;30,41;55403;35;999,13
738;30,41;55771;35;999,13
739;30,41;55882;35;999,12
740;30,42;55513;35;999,12
741;30,41;55586;35;999,12
742;30,42;55440;35;999,12
743;30,41;55586;35;999,12
744;30,42;55586;35;999,12
745;30,42;55550;35;999,12
746;30,41;55994;35;999,12
747;30,42;55734;35;999,12
748;30,42;55771;35;999,09
749;30,42;55660;35;999,09
750;30,42;55550;35;999,09
751;30,43;55994;35;999,16
752;30,43;55660;35;999,13
753;30,43;55697;35;999,16
754;30,44;55660;35;999,16
755;30,43;56106;35;999,13
756;30,43;55808;35;999,16
757;30,44;55697;35;999,16
758;30,43;55808;35;999,13
759;30,44;55550;35;999,13
760;30,44;55697;35;999,13
761;30,44;56068;35;999,12
762;30,44;55882;35;999,13
763;30,44;56106;35;999,13
764;30,45;56369;35;999,16
765;30,45;55956;35;999,16
766;30,45;55956;35;999,16
767;30,45;55734;35;999,16
768;30,45;56031;35;999,16
769;30,45;55919;35;999,16
770;30,44;56256;35;999,12
771;30,44;55734;35;999,13
772;30,45;55994;35;999,16
773;30,46;56218;35;999,16
774;30,46;56068;35;999,16
775;30,46;56559;35;999,16
776;30,46;55808;35;999,13
777;30,46;56483;35;999,16
778;30,46;56181;35;999,16
779;30,47;56068;35;999,16
780;30,46;55919;35;999,17
781;30,47;56031;35;999,13
782;30,46;56294;35;999,17
783;30,46;55994;35;999,17
784;30,47;55808;35;999,17
785;30,47;56031;35;999,16
786;30,47;56068;35;999,16
787;30,47;56218;35;999,17
788;30,47;56332;35;999,16
789;30,48;56332;35;999,16
790;30,48;56068;35;999,16
791;30,48;56521;35;999,16
792;30,48;56181;35;999,16
793;30,48;56031;35;999,16
794;30,48;56521;35;999,13
795;30,48;56407;35;999,17
796;30,49;56407;35;999,17
797;30,48;56068;35;999,17
798;30,49;56445;35;999,17
799;30,49;56750;35;999,13
800;30,48;56218;35;999,16
801;30,49;56332;35;999,16
802;30,49;56407;35;999,16
803;30,49;56332;35;999,16
804;30,49;56597;35;999,16
805;30,5;56521;35;999,16
806;30,5;56942;35;999,16
807;30,49;56788;35;999,13
808;30,5;57136;35;999,13
809;30,5;56559;35;999,13
810;30,5;56559;35;999,13
811;30,49;56559;35;999,13
812;30,51;56750;35;999,16
813;30,5;56521;35;999,16
814;30,51;56521;35;999,13
815;30,51;56106;35;999,12
816;30,5;56143;35;999,12
817;30,5;56256;35;999,16
818;30,51;56521;35;999,16
819;30,51;56865;35;999,16
820;30,51;56407;35;999,13
821;30,52;56483;35;999,13
822;30,51;57175;35;999,13
823;30,51;57136;35;999,13
824;30,51;56332;35;999,13
825;30,52;56981;35;999,13
826;30,52;56559;35;999,13
827;30,52;56445;35;999,13
828;30,52;57136;35;999,13
829;30,52;56981;35;999,12
830;30,52;56445;35;999,13
831;30,51;57214;35;999,12
832;30,52;56904;35;999,12
833;30,52;56407;35;999,12
834;30,52;56865;35;999,12
835;30,52;56788;35;999,13
836;30,53;56673;35;999,12
837;30,53;56788;35;999,13
838;30,53;56407;35;999,13
839;30,53;56712;35;999,12
840;30,53;56597;35;999,12
841;30,54;56635;35;999,12
842;30,53;56827;35;999,12
843;30,52;57058;35;999,08
844;30,53;56904;35;999,09
845;30,53;57019;35;999,09
846;30,53;56445;35;999,08
847;30,54;56788;35;999,08
848;30,54;56597;35;999,08
849;30,54;57058;35;999,08
850;30,54;56788;35;999,08
851;30,54;57214;35;999,08
852;30,55;57097;35;999,12
853;30,55;56750;35;999,08
854;30,55;57097;35;999,09
855;30,54;57136;35;999,08
856;30,54;56827;35;999,09
857;30,55;57136;35;999,09
858;30,55;57370;35;999,12
859;30,55;57019;35;999,09
860;30,55;56981;35;999,09
861;30,55;57019;35;999,09
862;30,55;56942;35;999,08
863;30,56;56904;35;999,09
864;30,56;57019;35;999,09
865;30,56;57175;35;999,09
866;30,56;56865;35;999,09
867;30,55;57331;35;999,09
868;30,56;56865;35;999,09
869;30,56;56712;35;999,09
870;30,56;57409;35;999,13
871;30,56;57019;35;999,09
872;30,57;56750;35;999,13
873;30,56;56865;35;999,12
874;30,56;57097;35;999,12
875;30,57;57292;35;999,13
876;30,57;57409;35;999,12
877;30,57;56712;35;999,12
878;30,57;57370;35;999,12
879;30,57;57175;35;999,12
880;30,58;57019;35;999,12
