;temperatureEreignis;;gasEreignis;;humidityEreignis;;barometerEreignis
12371;28,61;12371;93907;12371;40;12371;1003,13
12372;28,61;12372;93698;12372;40;12372;1003,13
12373;28,61;12373;93907;12373;40;12373;1003,13
12374;28,61;12374;93802;12374;40;12374;1003,13
12375;28,61;12375;93489;12375;40;12375;1003,13
12376;28,61;12376;93489;12376;40;12376;1003,13
12377;28,61;12377;93385;12377;40;12377;1003,13
12378;28,61;12378;93385;12378;40;12378;1003,11
12379;28,61;12379;93698;12379;40;12379;1003,13
12380;28,61;12380;92972;12380;40;12380;1003,13
12381;28,61;12381;93593;12381;40;12381;1003,13
12382;28,6;12382;93593;12382;40;12382;1003,13
12383;28,61;12383;93178;12383;40;12383;1003,13
12384;28,61;12384;93698;12384;40;12384;1003,13
12385;28,61;12385;93698;12385;40;12385;1003,13
12386;28,61;12386;93593;12386;40;12386;1003,13
12387;28,61;12387;92870;12387;40;12387;1003,11
12388;28,61;12388;93698;12388;40;12388;1003,13
12389;28,61;12389;94012;12389;40;12389;1003,11
12390;28,61;12390;93385;12390;40;12390;1003,11
12391;28,61;12391;93698;12391;40;12391;1003,13
12392;28,61;12392;93489;12392;40;12392;1003,13
12393;28,6;12393;93698;12393;40;12393;1003,09
12394;28,59;12394;92870;12394;40;12394;1003,11
12395;28,6;12395;93802;12395;40;12395;1003,11
12396;28,61;12396;93907;12396;40;12396;1003,13
12397;28,61;12397;93282;12397;40;12397;1003,13
12398;28,62;12398;93385;12398;40;12398;1003,13
12399;28,61;12399;93075;12399;40;12399;1003,13
12400;28,61;12400;92972;12400;40;12400;1003,13
12401;28,61;12401;93282;12401;40;12401;1003,13
12402;28,61;12402;93282;12402;40;12402;1003,11
12403;28,61;12403;93802;12403;40;12403;1003,13
12404;28,61;12404;92870;12404;40;12404;1003,13
12405;28,61;12405;94012;12405;40;12405;1003,13
12406;28,59;12406;93075;12406;40;12406;1003,11
12407;28,6;12407;93489;12407;40;12407;1003,09
12408;28,61;12408;93698;12408;40;12408;1003,13
12409;28,61;12409;93282;12409;40;12409;1003,13
12410;28,61;12410;93489;12410;40;12410;1003,11
12411;28,61;12411;94223;12411;40;12411;1003,13
12412;28,6;12412;93698;12412;40;12412;1003,11
12413;28,6;12413;93802;12413;40;12413;1003,11
12414;28,6;12414;93178;12414;40;12414;1003,11
12415;28,6;12415;93178;12415;40;12415;1003,11
12416;28,61;12416;93698;12416;40;12416;1003,11
12417;28,61;12417;93282;12417;40;12417;1003,11
12418;28,6;12418;93385;12418;40;12418;1003,09
12419;28,6;12419;93385;12419;40;12419;1003,11
12420;28,6;12420;93593;12420;40;12420;1003,11
12421;28,6;12421;93489;12421;40;12421;1003,11
12422;28,6;12422;94118;12422;40;12422;1003,11
12423;28,61;12423;93489;12423;40;12423;1003,15
12424;28,6;12424;94012;12424;40;12424;1003,13
12425;28,6;12425;93698;12425;40;12425;1003,13
12426;28,6;12426;93489;12426;40;12426;1003,13
12427;28,6;12427;93802;12427;40;12427;1003,13
12428;28,59;12428;93385;12428;40;12428;1003,11
12429;28,6;12429;93907;12429;40;12429;1003,13
12430;28,6;12430;93282;12430;40;12430;1003,11
12431;28,6;12431;93075;12431;40;12431;1003,11
12432;28,6;12432;93593;12432;40;12432;1003,13
12433;28,6;12433;92972;12433;40;12433;1003,11
12434;28,6;12434;94118;12434;40;12434;1003,13
12435;28,6;12435;93282;12435;40;12435;1003,13
12436;28,6;12436;93075;12436;40;12436;1003,13
12437;28,59;12437;93489;12437;40;12437;1003,13
12438;28,59;12438;93593;12438;40;12438;1003,11
12439;28,59;12439;93698;12439;40;12439;1003,13
12440;28,6;12440;93593;12440;40;12440;1003,13
12441;28,6;12441;93178;12441;40;12441;1003,11
12442;28,6;12442;93698;12442;40;12442;1003,13
12443;28,6;12443;94118;12443;40;12443;1003,13
12444;28,6;12444;93075;12444;40;12444;1003,13
12445;28,6;12445;93698;12445;40;12445;1003,15
12446;28,61;12446;93698;12446;40;12446;1003,13
12447;28,6;12447;92972;12447;40;12447;1003,13
12448;28,6;12448;93907;12448;40;12448;1003,13
12449;28,6;12449;93802;12449;40;12449;1003,13
12450;28,6;12450;93802;12450;40;12450;1003,15
12451;28,6;12451;94012;12451;40;12451;1003,13
12452;28,6;12452;93698;12452;40;12452;1003,13
12453;28,6;12453;93907;12453;40;12453;1003,13
12454;28,61;12454;93385;12454;40;12454;1003,11
12455;28,6;12455;92972;12455;40;12455;1003,13
12456;28,61;12456;93907;12456;40;12456;1003,13
12457;28,6;12457;93282;12457;40;12457;1003,13
12458;28,6;12458;93698;12458;40;12458;1003,13
12459;28,6;12459;93593;12459;40;12459;1003,15
